topology,n_logical,n_mrr,n_stages,worst_il_db,avg_il_db,il_p95_db,worst_sxr_db,sxr_violation_count,physical_attempts,physical_failure_rate,physical_worst_il_db,physical_runtime_s_avg
spanke_benes_9x9,9,36,15,4.46049397303643,3.867964597932777,4.263594007565581,5.722303850755934,2620,10,0.000000,10.531210,18.775699
spanke_benes_rect_9x9,9,36,9,2.8066940420947333,2.6079645979328094,2.7940269851402117,9.671491746491668,2620,10,0.000000,6.956306,13.760799
padded_benes_16x16,10,56,7,6.358095626265584,5.127961146380032,5.927429740174626,7.894315893838599,2976,10,0.410000,,78.607721
waksman_10x10,10,25,7,5.332096797129147,3.766480623667001,4.471429740174624,8.263574220464081,2905,10,0.350000,,61.954551
spanke_benes_10x10,10,45,17,5.05042650277462,4.380830184382979,4.814860651212814,4.60925121699605,2939,10,0.000000,11.554558,23.602267
spanke_benes_rect_10x10,10,45,10,3.1209932500093074,2.910830184383031,3.082327363918349,8.978143869063697,2939,10,0.000000,7.623141,18.320274
padded_benes_16x16,11,56,7,6.558095626265583,5.26601297677221,6.048096797129146,7.675828732196011,3281,10,0.418182,,81.833880
waksman_11x11,11,29,7,5.911429740174626,4.114557311407521,4.881796418351009,7.474371333269957,3202,10,0.454545,,89.506661
spanke_benes_11x11,11,55,19,5.64035903251281,4.895282499821933,5.377825745218345,3.557404063287073,3230,10,0.000000,14.036769,39.038541
spanke_benes_rect_11x11,11,55,11,3.435292457923882,3.215282499821973,3.3966265718329236,8.231685954088485,3230,10,0.000000,8.628988,27.821684
padded_benes_16x16,12,56,7,6.558095626265583,5.3863795352735035,6.174095626265583,7.451144910584855,3591,10,0.433333,,111.604371
waksman_12x12,12,33,7,5.7987626832201045,4.162916049151589,5.206762683220104,7.691653718032537,3518,10,0.391667,,99.520340
spanke_benes_12x12,12,66,21,6.230291562251002,5.406456804054199,5.964724539825632,2.5498992845357407,3548,10,0.000000,15.113968,54.894364
spanke_benes_rect_12x12,12,66,12,3.749591665838456,3.516456804054196,3.710925779747498,7.617809941523114,3548,10,0.000000,9.238160,39.609795
padded_benes_16x16,13,56,7,6.655429740174625,5.479351180377776,6.306762683220105,6.83267901068686,3880,10,0.415385,,131.840775
waksman_13x13,13,37,7,7.306762683220105,4.708857837435147,5.8554297401746265,6.396398684192112,3811,10,0.469231,,114.925724
spanke_benes_13x13,13,78,23,6.820224091989193,5.920245184023534,6.492620815053471,1.5847188134092918,3860,10,0.000000,17.240148,79.772449
spanke_benes_rect_13x13,13,78,13,4.0638908737530315,3.8202451840235456,4.025224987662072,6.954818216019854,3860,10,0.000000,9.904707,59.963831
padded_benes_16x16,14,56,7,6.7194297401746255,5.5860643589869365,6.422762683220105,6.614091173059521,4191,10,0.464286,,146.111953
waksman_14x14,14,41,7,7.158095626265584,4.935890529682095,6.402762683220104,6.27326874098928,4117,10,0.421429,,133.617428
spanke_benes_14x14,14,91,25,7.410156621727383,6.435608760149072,7.081990012609301,0.6533494067176591,4157,10,0.007143,17.529904,101.968292
spanke_benes_rect_14x14,14,91,14,4.378190081667606,4.125608760149076,4.339524195576646,6.395932567450067,4157,10,0.000000,10.556760,76.032858
padded_benes_16x16,15,56,7,6.9194297401746265,5.694348534892383,6.540096797129147,6.441427197570958,4481,10,0.486667,,152.739227
waksman_15x15,15,45,7,7.158095626265585,5.218150871288941,6.622762683220104,6.379993382800172,4442,10,0.533333,,138.228887
spanke_benes_15x15,15,105,27,8.000089151465573,6.94962039778361,7.668888807216589,-0.24955304263396055,4456,10,0.013333,18.160777,134.900913
spanke_benes_rect_15x15,15,105,15,4.69248928958218,4.4296203977835225,4.6411563465367,5.771565045630052,4456,10,0.000000,11.646847,99.500486
padded_benes_16x16,16,56,7,7.119429740174626,5.777457475531515,6.635429740174626,6.441293296465792,4795,10,0.518750,,163.530208
waksman_16x16,16,49,7,7.258095626265583,5.276868118217008,6.486762683220105,6.603667403905544,4725,10,0.506250,,168.013008
spanke_benes_16x16,16,120,29,8.590021681203766,7.46229192360607,8.196221750262069,-1.1294605271309246,4769,10,0.012500,19.956591,164.649413
spanke_benes_rect_16x16,16,120,16,5.006788497496754,4.732291923606122,4.955455554451275,5.221712908866661,4769,10,0.000000,12.153105,129.370092
