topology,layout,paths,worst_il_db,avg_il_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count
padded_benes_16x16,default,3300,7.61467519999951,5.251827979301849,5.2554412212717585,6.22953481276286,6.472581608508409,6.92362840425396,-1.4334086600205451,5.756096717180843,0.17387290127846727,1.4226070936961697,3300,11,16,logical,42,sample,500,300,56,7,57.27333333333333
waksman_11x11,default,3300,6.268864457142438,4.406132006528321,4.455441221271757,5.240006918539814,5.494770865651336,5.841817661396886,-0.442999817055054,5.866045943453897,0.9147625884934656,2.1247511237705314,3273,11,11,logical,42,sample,500,300,29,7,52.653333333333336
spanke_benes_11x11,default,3300,11.612107428570729,9.125585527885573,9.526797843752956,10.95677778419115,11.161060632825176,11.612107428570729,-8.601807471930917,-0.7937232224233185,-7.988502854047264,-6.421770551292493,3273,11,11,logical,42,sample,500,300,55,19,0.0
padded_benes_16x16,default,3600,7.24667519999951,5.310334272721417,5.306488017017308,6.28553481276286,6.520581608508409,6.92362840425396,-1.2116117927329964,5.292644922410008,-0.030526337348014965,1.198737801163761,3600,12,16,logical,42,sample,500,300,56,7,68.42333333333333
waksman_12x12,default,3600,6.636864457142438,4.540222205340248,4.596960122794263,5.478770865651336,5.721817661396886,6.121817661396886,-0.6375678260811141,5.544924780888807,0.7104001771916607,1.3959835991465304,3600,12,12,logical,42,sample,500,300,33,7,52.25333333333333
spanke_benes_12x12,default,3600,12.793918171427801,10.13853044840408,10.588608586610027,12.138588527048222,12.34287137568225,12.793918171427801,-10.197545066370239,-2.144878511094433,-9.555385478826526,-7.960501787322021,3578,12,12,logical,42,sample,500,300,66,21,0.0
padded_benes_16x16,default,3900,7.61467519999951,5.347656134433281,5.375441221271758,6.285534812762858,6.52058160850841,6.92362840425396,-1.4640611857725605,5.176411765993253,0.06720315842706036,1.2714941925309187,3900,13,16,logical,42,sample,500,300,56,7,81.27333333333333
waksman_13x13,default,3900,7.35867519999951,4.727912589546087,4.747724069905786,5.619053714285364,5.885534812762859,6.45658160850841,-1.8699383577932909,5.143890520509476,0.16305332869194142,1.2069659308308143,3886,13,13,logical,42,sample,500,300,37,7,79.22666666666667
spanke_benes_13x13,default,3900,13.975728914284874,11.033036120093106,11.537174283878088,13.116116421271268,13.404682118539323,13.975728914284874,-11.75724141812131,-3.2298648401159333,-10.965379469122398,-9.084374966074279,3886,13,13,logical,42,sample,500,300,78,23,0.0
padded_benes_16x16,default,4200,7.50267519999951,5.384276875173098,5.383441221271758,6.341534812762859,6.472581608508409,6.92362840425396,-1.9137602710681565,4.877823951783038,-0.017957262297112274,0.7756603552714438,4200,14,16,logical,42,sample,500,300,56,7,94.42
waksman_14x14,default,4200,7.35867519999951,4.858966961874447,4.877242971428291,5.873817661396886,6.101534812762859,6.524864457142438,-1.6887678064288292,4.9555983913851565,-0.1410078224690686,0.8997558282163256,4200,14,14,logical,42,sample,500,300,41,7,90.90333333333334
spanke_benes_14x14,default,4200,15.157539657141946,11.989517401193098,12.421060632825178,14.093644315494315,14.50221001276237,15.157539657141946,-13.286673223570503,-4.342158236482448,-12.509665982797909,-10.24877026884339,4175,14,14,logical,42,sample,500,300,91,25,0.0
padded_benes_16x16,default,4500,7.50267519999951,5.387182722516857,5.391441221271757,6.285534812762858,6.520581608508408,6.92362840425396,-1.9882102390579703,4.729809649262068,-0.29002568733103673,0.6710695184406169,4500,15,16,logical,42,sample,500,300,56,7,108.09
waksman_15x15,default,4500,7.35867519999951,4.9939102324001485,4.979724069905787,5.94953481276286,6.272581608508409,6.78762840425396,-1.7871397450907278,4.750173142682095,-0.43783805856694347,0.8025520884987183,4500,15,15,logical,42,sample,500,300,45,7,105.99666666666667
spanke_benes_15x15,default,4500,16.33935039999902,12.915286057995626,13.492230072324174,15.19725680850792,15.670501854096935,16.135067551364994,-14.79033080014159,-5.448392625788505,-13.716026334761153,-11.623251604654325,4483,15,15,logical,42,sample,500,300,105,27,0.0
padded_benes_16x16,default,4800,7.61467519999951,5.413552288765343,5.434488017017308,6.285534812762858,6.47258160850841,6.97162840425396,-1.974151167587161,4.337943839169992,-0.7233278671716143,0.42950162212535914,4800,16,16,logical,42,sample,500,300,56,7,122.80666666666667
waksman_16x16,default,4800,7.61467519999951,5.101243991028612,5.154488017017307,6.141534812762858,6.464581608508408,6.92362840425396,-1.9757019796541628,4.625593561459524,-0.5800344787473342,0.6331952147596098,4800,16,16,logical,42,sample,500,300,49,7,108.29
spanke_benes_16x16,default,4800,17.521161142856094,13.887551379427544,14.52507861822626,16.308303604253467,16.852312596954008,17.316878294222064,-16.271773776773095,-6.5229387870330555,-15.25717202320742,-12.932662250153955,4779,16,16,logical,42,sample,500,300,120,29,0.0
