edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:5:w3:waksman_10x10_s5_w1_3.drop->waksman_10x10_s6_w2_3.add:w3,input:w3->waksman_10x10_s0_w2_3.add,interstage,waksman_10x10_s5_w1_3.drop,3,False,waksman_10x10_s6_w2_3.add,3,False,5,6
stage:5:w4:waksman_10x10_s5_w4_6.th->waksman_10x10_s6_w4_5.in:w4,input:w4->waksman_10x10_s0_w4_5.in,interstage,waksman_10x10_s5_w4_6.th,4,False,waksman_10x10_s6_w4_5.in,4,False,5,6
stage:5:w5:waksman_10x10_s5_w5_7.th->waksman_10x10_s6_w4_5.add:w5,input:w5->waksman_10x10_s0_w4_5.add,interstage,waksman_10x10_s5_w5_7.th,5,False,waksman_10x10_s6_w4_5.add,5,False,5,6
stage:5:w6:waksman_10x10_s5_w4_6.drop->waksman_10x10_s6_w6_7.in:w6,input:w6->waksman_10x10_s0_w6_7.in,interstage,waksman_10x10_s5_w4_6.drop,6,False,waksman_10x10_s6_w6_7.in,6,False,5,6
stage:5:w7:waksman_10x10_s5_w5_7.drop->waksman_10x10_s6_w6_7.add:w7,input:w7->waksman_10x10_s0_w6_7.add,interstage,waksman_10x10_s5_w5_7.drop,7,False,waksman_10x10_s6_w6_7.add,7,False,5,6
output:waksman_10x10_s6_w0_1.th->w0,input:w0->waksman_10x10_s0_w0_1.in,output,waksman_10x10_s6_w0_1.th,0,False,O0,0,False,6,
output:waksman_10x10_s6_w0_1.drop->w1,input:w1->waksman_10x10_s0_w0_1.add,output,waksman_10x10_s6_w0_1.drop,1,False,O1,1,False,6,
output:waksman_10x10_s6_w2_3.th->w2,input:w2->waksman_10x10_s0_w2_3.in,output,waksman_10x10_s6_w2_3.th,2,False,O2,2,False,6,
output:waksman_10x10_s6_w2_3.drop->w3,input:w3->waksman_10x10_s0_w2_3.add,output,waksman_10x10_s6_w2_3.drop,3,False,O3,3,False,6,
output:waksman_10x10_s6_w4_5.th->w4,input:w4->waksman_10x10_s0_w4_5.in,output,waksman_10x10_s6_w4_5.th,4,False,O4,4,False,6,
output:waksman_10x10_s6_w4_5.drop->w5,input:w5->waksman_10x10_s0_w4_5.add,output,waksman_10x10_s6_w4_5.drop,5,False,O5,5,False,6,
output:waksman_10x10_s6_w6_7.th->w6,input:w6->waksman_10x10_s0_w6_7.in,output,waksman_10x10_s6_w6_7.th,6,False,O6,6,False,6,
output:waksman_10x10_s6_w6_7.drop->w7,input:w7->waksman_10x10_s0_w6_7.add,output,waksman_10x10_s6_w6_7.drop,7,False,O7,7,False,6,
output:waksman_10x10_s3_w0_8.drop->w8,input:w8->waksman_10x10_s0_w8_9.in,output,waksman_10x10_s3_w0_8.drop,8,False,O8,8,False,3,
output:waksman_10x10_s3_w1_9.drop->w9,input:w9->waksman_10x10_s0_w8_9.add,output,waksman_10x10_s3_w1_9.drop,9,False,O9,9,False,3,
