topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
padded_benes_8x8,default,3-1-2-0-4,4,4,routed,,1170.517688,17,10,4.539855,2.599820,1.940035,743.000000,427.517688,1.113820,22.205182,5,physical,2,42
waksman_5x5,default,3-1-2-4-0,0,3,routed,,1264.517688,17,11,5.571185,3.095149,2.476035,619.000000,645.517688,1.857149,7.424391,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,1,1,routed,,1144.955743,14,10,4.028203,1.994292,2.033911,663.000000,481.955743,0.668292,18.777157,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,2,2,routed,,1204.225651,19,6,4.737837,2.848385,1.889451,607.000000,597.225651,1.634385,7.551369,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,3,4,failed,"capped rip-up hop exhausted bounded candidates before A*: deterministic hop candidate segment is blocked; blocked_by=I0/external/spacing:(144.000,55.000)->(430.000,55.000)",,,,,3.391432,,637.000000,,2.117432,4.911823,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,4,0,routed,,829.685835,9,7,3.555710,2.305339,1.250372,577.000000,252.685835,1.151339,11.518892,5,physical,0,42
waksman_5x5,default,3-2-0-4-1,0,3,routed,,1264.225651,19,10,5.480601,3.095149,2.385451,619.000000,645.225651,1.857149,7.424391,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,1,2,routed,,1126.663706,16,9,4.867713,2.904385,1.963327,635.000000,491.663706,1.634385,7.849914,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,2,0,routed,,1036.517688,17,6,4.875468,3.355432,1.520035,619.000000,417.517688,2.117432,5.237131,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,3,4,routed,,1048.663706,16,8,5.094760,3.391432,1.703327,637.000000,411.663706,2.117432,4.911823,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,4,1,routed,,929.101761,13,5,4.057589,2.820385,1.237204,593.000000,336.101761,1.634385,8.436391,5,physical,1,42
waksman_5x5,default,3-1-2-0-4,0,3,failed,"cannot route waksman_5x5_s1_w0_2.th to waksman_5x5_s2_w0_4.in on physical grid: blocked by port access (port_access_overlap_owner); candidate=(376.000,112.000)->(370.000,112.000) region=I0/waksman_5x5_s3_w0_2.in:(384.000,112.000)->(370.000,112.000); soft_repeat=I1/repeated_crossing pair=I0-I1 at=(248.000,112.000) source=I0->I1@(48.000,130.000):(20.000,130.000)->(55.000,130.000)x(48.000,122.000)->(48.000,143.000) counters=port_access:90,window:1139,same_net:676,crossing_candidate:26,crossing_budget:0,hard_reserved_crossing:0,soft_repeated_crossing:911,soft_reserved_crossing:0,reserved_spacing:112,segment:2927,pops:13930,max_heap:321",,,,,3.365913,,643.000000,,2.079913,7.106162,5,physical,2,42
waksman_5x5,default,3-1-2-0-4,1,1,routed,,1244.663706,16,6,3.837619,1.994292,1.843327,663.000000,581.663706,0.668292,18.969857,5,physical,2,42
waksman_5x5,default,3-1-2-0-4,2,2,routed,,1150.517688,17,6,4.620421,2.848385,1.772035,607.000000,543.517688,1.634385,7.643662,5,physical,2,42
waksman_5x5,default,3-1-2-0-4,3,0,routed,,1255.641578,23,8,5.283433,3.095149,2.188283,619.000000,636.641578,1.857149,6.956127,5,physical,2,42
