edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:1:w15:padded_benes_16x16_s1_w13_15.drop->padded_benes_16x16_s2_w11_15.add:w15,input:w15->padded_benes_16x16_s0_w14_15.add,interstage,padded_benes_16x16_s1_w13_15.drop,15,False,padded_benes_16x16_s2_w11_15.add,15,False,1,2
stage:2:w0:padded_benes_16x16_s2_w0_4.th->padded_benes_16x16_s3_w0_8.in:w0,input:w0->padded_benes_16x16_s0_w0_1.in,interstage,padded_benes_16x16_s2_w0_4.th,0,False,padded_benes_16x16_s3_w0_8.in,0,False,2,3
stage:2:w1:padded_benes_16x16_s2_w1_5.th->padded_benes_16x16_s3_w1_9.in:w1,input:w1->padded_benes_16x16_s0_w0_1.add,interstage,padded_benes_16x16_s2_w1_5.th,1,False,padded_benes_16x16_s3_w1_9.in,1,False,2,3
stage:2:w2:padded_benes_16x16_s2_w2_6.th->padded_benes_16x16_s3_w2_10.in:w2,input:w2->padded_benes_16x16_s0_w2_3.in,interstage,padded_benes_16x16_s2_w2_6.th,2,False,padded_benes_16x16_s3_w2_10.in,2,False,2,3
stage:2:w3:padded_benes_16x16_s2_w3_7.th->padded_benes_16x16_s3_w3_11.in:w3,input:w3->padded_benes_16x16_s0_w2_3.add,interstage,padded_benes_16x16_s2_w3_7.th,3,False,padded_benes_16x16_s3_w3_11.in,3,False,2,3
stage:2:w4:padded_benes_16x16_s2_w0_4.drop->padded_benes_16x16_s3_w4_12.in:w4,input:w4->padded_benes_16x16_s0_w4_5.in,interstage,padded_benes_16x16_s2_w0_4.drop,4,False,padded_benes_16x16_s3_w4_12.in,4,False,2,3
stage:2:w5:padded_benes_16x16_s2_w1_5.drop->padded_benes_16x16_s3_w5_13.in:w5,input:w5->padded_benes_16x16_s0_w4_5.add,interstage,padded_benes_16x16_s2_w1_5.drop,5,False,padded_benes_16x16_s3_w5_13.in,5,False,2,3
stage:2:w6:padded_benes_16x16_s2_w2_6.drop->padded_benes_16x16_s3_w6_14.in:w6,input:w6->padded_benes_16x16_s0_w6_7.in,interstage,padded_benes_16x16_s2_w2_6.drop,6,False,padded_benes_16x16_s3_w6_14.in,6,False,2,3
stage:2:w7:padded_benes_16x16_s2_w3_7.drop->padded_benes_16x16_s3_w7_15.in:w7,input:w7->padded_benes_16x16_s0_w6_7.add,interstage,padded_benes_16x16_s2_w3_7.drop,7,False,padded_benes_16x16_s3_w7_15.in,7,False,2,3
stage:2:w8:padded_benes_16x16_s2_w8_12.th->padded_benes_16x16_s3_w0_8.add:w8,input:w8->padded_benes_16x16_s0_w8_9.in,interstage,padded_benes_16x16_s2_w8_12.th,8,False,padded_benes_16x16_s3_w0_8.add,8,False,2,3
stage:2:w9:padded_benes_16x16_s2_w9_13.th->padded_benes_16x16_s3_w1_9.add:w9,input:w9->padded_benes_16x16_s0_w8_9.add,interstage,padded_benes_16x16_s2_w9_13.th,9,False,padded_benes_16x16_s3_w1_9.add,9,False,2,3
stage:2:w10:padded_benes_16x16_s2_w10_14.th->padded_benes_16x16_s3_w2_10.add:w10,input:w10->padded_benes_16x16_s0_w10_11.in,interstage,padded_benes_16x16_s2_w10_14.th,10,False,padded_benes_16x16_s3_w2_10.add,10,False,2,3
stage:2:w11:padded_benes_16x16_s2_w11_15.th->padded_benes_16x16_s3_w3_11.add:w11,input:w11->padded_benes_16x16_s0_w10_11.add,interstage,padded_benes_16x16_s2_w11_15.th,11,False,padded_benes_16x16_s3_w3_11.add,11,False,2,3
stage:2:w12:padded_benes_16x16_s2_w8_12.drop->padded_benes_16x16_s3_w4_12.add:w12,input:w12->padded_benes_16x16_s0_w12_13.in,interstage,padded_benes_16x16_s2_w8_12.drop,12,False,padded_benes_16x16_s3_w4_12.add,12,False,2,3
stage:2:w13:padded_benes_16x16_s2_w9_13.drop->padded_benes_16x16_s3_w5_13.add:w13,input:w13->padded_benes_16x16_s0_w12_13.add,interstage,padded_benes_16x16_s2_w9_13.drop,13,False,padded_benes_16x16_s3_w5_13.add,13,False,2,3
