topology,topology_family,n_logical,attempts,fully_routed_attempts,fully_routed_rate,drc_violation_attempts,worst_il_db,worst_il_permutation,routed_worst_il_mean_db,routed_worst_il_std_db,runtime_s_avg_all_attempts,runtime_s_avg_routed
spanke_benes_4x4,spanke_benes,4,24,24,1.000000,0,4.019575,0-1-3-2,3.196901,0.439260,0.677919,0.677919
spanke_benes_5x5,spanke_benes,5,120,120,1.000000,0,5.477755,0-1-2-4-3,4.367692,0.527603,1.700294,1.700294
spanke_benes_6x6,spanke_benes,6,10,10,1.000000,0,6.288886,1-2-3-4-5-0,5.832485,0.235767,4.226080,4.226080
spanke_benes_7x7,spanke_benes,7,10,10,1.000000,0,8.100741,1-0-3-5-6-2-4,6.797702,0.561626,6.575954,6.575954
spanke_benes_8x8,spanke_benes,8,10,10,1.000000,0,9.043164,2-1-0-7-4-6-5-3,7.812860,0.758038,9.510655,9.510655
spanke_benes_9x9,spanke_benes,9,10,10,1.000000,0,11.041101,1-0-3-2-7-5-6-4-8,9.323701,0.867022,15.657822,15.657822
spanke_benes_rect_10x10,spanke_benes_rect,10,10,10,1.000000,0,7.590303,7-8-3-0-2-9-1-4-5-6,7.363953,0.161115,19.082648,19.082648
spanke_benes_rect_11x11,spanke_benes_rect,11,10,10,1.000000,0,8.566864,5-1-9-0-2-4-7-3-6-8-10,8.172167,0.214551,29.580234,29.580234
spanke_benes_rect_12x12,spanke_benes_rect,12,10,10,1.000000,0,9.235397,8-10-5-2-11-1-6-0-4-9-7-3,8.882076,0.197585,38.342148,38.342148
spanke_benes_rect_13x13,spanke_benes_rect,13,10,10,1.000000,0,10.135416,6-0-4-8-5-7-9-3-2-1-12-10-11,9.625192,0.284599,54.362483,54.362483
spanke_benes_rect_14x14,spanke_benes_rect,14,10,10,1.000000,0,11.143132,10-4-8-7-1-9-2-6-5-11-3-0-12-13,10.443819,0.371307,69.811057,69.811057
spanke_benes_rect_15x15,spanke_benes_rect,15,10,10,1.000000,0,11.513004,8-7-11-1-0-6-9-4-3-14-12-2-5-13-10,11.059029,0.259595,94.168154,94.168154
spanke_benes_rect_16x16,spanke_benes_rect,16,10,10,1.000000,0,12.059510,10-3-11-0-12-14-8-9-2-5-15-4-6-1-13-7,11.754619,0.188254,123.174062,123.174062
spanke_benes_rect_3x3,spanke_benes_rect,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.118810,0.118810
spanke_benes_rect_4x4,spanke_benes_rect,4,24,24,1.000000,0,3.507941,0-1-3-2,3.057622,0.367400,0.611367,0.611367
spanke_benes_rect_5x5,spanke_benes_rect,5,120,120,1.000000,0,4.378736,1-3-0-2-4,3.832335,0.342240,1.207947,1.207947
spanke_benes_rect_6x6,spanke_benes_rect,6,10,10,1.000000,0,5.046122,1-2-3-4-5-0,4.775713,0.240580,2.799425,2.799425
spanke_benes_rect_7x7,spanke_benes_rect,7,10,10,1.000000,0,5.684669,1-0-3-5-6-2-4,5.336238,0.233472,4.371883,4.371883
spanke_benes_rect_8x8,spanke_benes_rect,8,10,10,1.000000,0,6.476302,3-5-2-4-1-6-7-0,5.890392,0.228830,7.820900,7.820900
spanke_benes_rect_9x9,spanke_benes_rect,9,10,10,1.000000,0,6.984224,1-0-3-2-7-5-6-4-8,6.578301,0.207943,10.470000,10.470000
waksman_10x10,waksman,10,10,0,0.000000,0,,,,,60.680514,
waksman_11x11,waksman,11,10,0,0.000000,0,,,,,88.376419,
waksman_12x12,waksman,12,10,0,0.000000,0,,,,,83.068989,
waksman_13x13,waksman,13,10,0,0.000000,0,,,,,109.224847,
waksman_14x14,waksman,14,10,0,0.000000,0,,,,,157.146497,
waksman_15x15,waksman,15,10,0,0.000000,0,,,,,140.147247,
waksman_16x16,waksman,16,10,0,0.000000,0,,,,,180.148802,
waksman_3x3,waksman,3,6,6,1.000000,0,2.317177,1-0-2,2.064067,0.189006,0.141609,0.141609
waksman_4x4,waksman,4,24,23,0.958333,0,3.623807,1-0-2-3,2.770021,0.297103,1.037345,0.991164
waksman_5x5,waksman,5,120,49,0.408333,0,4.703316,0-4-2-3-1,3.956356,0.259019,5.104710,3.592801
waksman_6x6,waksman,6,10,0,0.000000,0,,,,,14.158203,
waksman_7x7,waksman,7,10,2,0.200000,0,5.460773,6-3-5-1-0-2-4,5.354902,0.105871,20.105729,8.191375
waksman_8x8,waksman,8,10,2,0.200000,0,6.950235,2-4-7-1-6-0-5-3,6.537069,0.413166,22.095268,13.297073
waksman_9x9,waksman,9,10,0,0.000000,0,,,,,41.592478,
