topology,n_logical,n_mrr,n_stages,worst_il_db,avg_il_db,il_p95_db,worst_sxr_db,sxr_violation_count,physical_attempts,physical_failure_rate,physical_worst_il_db,physical_runtime_s_avg
spanke_benes_14x14,14,91,25,7.3974895647728625,6.436676675098266,7.079107964234943,0.8605066331876474,4151,10,0.000000,16.814106,94.454698
spanke_benes_rect_14x14,14,91,14,4.378190081667606,4.126676675098259,4.339524195576646,6.408986989638441,4151,10,0.000000,10.678884,72.911783
padded_benes_16x16,15,56,7,6.9194297401746265,5.688867953921733,6.540096797129147,6.616624609541768,4495,10,0.500000,,156.439138
waksman_15x15,15,45,7,7.158095626265585,5.2182024258037165,6.622762683220104,6.376097105595965,4438,10,0.546667,,132.363712
spanke_benes_15x15,15,105,27,7.987422094511054,6.948434643943492,7.659255485392972,-0.05814027654938888,4446,10,0.006667,18.031361,120.962970
spanke_benes_rect_15x15,15,105,15,4.69248928958218,4.428434643943425,4.6411563465367,5.764872396975036,4446,10,0.000000,11.452723,94.895190
padded_benes_16x16,16,56,7,7.119429740174626,5.780716920626455,6.622128979113309,6.446560671966063,4796,10,0.531250,,181.290446
waksman_16x16,16,49,7,7.258095626265583,5.280247545748988,6.478762683220104,6.603632470700987,4730,10,0.493750,,176.491443
spanke_benes_16x16,16,120,29,8.577354624249244,7.466255176930411,8.196221750262069,-0.9260244205722351,4766,10,0.012500,20.449086,182.579893
spanke_benes_rect_16x16,16,120,16,5.006788497496754,4.736255176930458,4.955455554451275,5.285188462416617,4766,10,0.000000,12.355139,137.618490
