topology,n_logical,ablation,metric,baseline_value,comparison_value,delta,notes
waksman_16x16,16,surrogate_calibration,kendall_tau,0.454545455,0.927272727,0.472727272,positive delta means calibrated ranking improved
waksman_4x4,4,surrogate_calibration,mae,1.327178400,0.108346693,-1.218831707,negative delta means calibrated MAE improved
waksman_4x4,4,surrogate_calibration,kendall_tau,0.000000000,0.600000000,0.600000000,positive delta means calibrated ranking improved
waksman_5x5,5,surrogate_calibration,mae,1.616078200,0.294714808,-1.321363392,negative delta means calibrated MAE improved
waksman_5x5,5,surrogate_calibration,kendall_tau,1.000000000,1.000000000,0.000000000,positive delta means calibrated ranking improved
waksman_6x6,6,surrogate_calibration,mae,2.464625500,0.253647417,-2.210978083,negative delta means calibrated MAE improved
waksman_6x6,6,surrogate_calibration,kendall_tau,0.714285714,0.866666667,0.152380953,positive delta means calibrated ranking improved
waksman_7x7,7,surrogate_calibration,mae,2.617957286,0.129434716,-2.488522570,negative delta means calibrated MAE improved
waksman_7x7,7,surrogate_calibration,kendall_tau,0.047619048,0.809523810,0.761904762,positive delta means calibrated ranking improved
waksman_8x8,8,surrogate_calibration,mae,2.906402286,0.261319077,-2.645083209,negative delta means calibrated MAE improved
waksman_8x8,8,surrogate_calibration,kendall_tau,0.444444444,0.904761905,0.460317461,positive delta means calibrated ranking improved
waksman_9x9,9,surrogate_calibration,mae,2.514456000,0.221814356,-2.292641644,negative delta means calibrated MAE improved
waksman_9x9,9,surrogate_calibration,kendall_tau,0.555555556,1.000000000,0.444444444,positive delta means calibrated ranking improved
