topology,n_logical,layer,seed,eval_mode,eval_perms,crossing_loss_db_per_cross,worst_il_db,worst_sxr_db
waksman_16x16,16,logical,44,sample,300,0.5,23.258095626265582,-7.396367529299015
waksman_16x16,16,logical,44,sample,300,1.0,43.258095626265586,-26.65633496153805
spanke_benes_16x16,16,logical,44,sample,300,0.0,8.577354624249244,-0.9260244205722351
spanke_benes_16x16,16,logical,44,sample,300,0.05,8.577354624249244,-0.9260244205722351
spanke_benes_16x16,16,logical,44,sample,300,0.1,8.577354624249244,-0.9260244205722351
spanke_benes_16x16,16,logical,44,sample,300,0.2,8.577354624249244,-0.9260244205722351
spanke_benes_16x16,16,logical,44,sample,300,0.3,8.577354624249244,-0.9260244205722351
spanke_benes_16x16,16,logical,44,sample,300,0.5,8.577354624249244,-0.9260244205722351
spanke_benes_16x16,16,logical,44,sample,300,1.0,8.577354624249244,-0.9260244205722351
spanke_benes_rect_16x16,16,logical,44,sample,300,0.0,5.006788497496754,5.285188462416617
spanke_benes_rect_16x16,16,logical,44,sample,300,0.05,5.006788497496754,5.285188462416617
spanke_benes_rect_16x16,16,logical,44,sample,300,0.1,5.006788497496754,5.285188462416617
spanke_benes_rect_16x16,16,logical,44,sample,300,0.2,5.006788497496754,5.285188462416617
spanke_benes_rect_16x16,16,logical,44,sample,300,0.3,5.006788497496754,5.285188462416617
spanke_benes_rect_16x16,16,logical,44,sample,300,0.5,5.006788497496754,5.285188462416617
spanke_benes_rect_16x16,16,logical,44,sample,300,1.0,5.006788497496754,5.285188462416617
