edge_id,kind,source,target,source_blocked,target_blocked
stage:3:w0:padded_benes_16x16_s3_w0_8.th->padded_benes_16x16_s4_w0_4.in:w0,interstage,padded_benes_16x16_s3_w0_8.th,padded_benes_16x16_s4_w0_4.in,False,False
stage:3:w1:padded_benes_16x16_s3_w1_9.th->padded_benes_16x16_s4_w1_5.in:w1,interstage,padded_benes_16x16_s3_w1_9.th,padded_benes_16x16_s4_w1_5.in,False,False
stage:3:w2:padded_benes_16x16_s3_w2_10.th->padded_benes_16x16_s4_w2_6.in:w2,interstage,padded_benes_16x16_s3_w2_10.th,padded_benes_16x16_s4_w2_6.in,False,False
stage:3:w3:padded_benes_16x16_s3_w3_11.th->padded_benes_16x16_s4_w3_7.in:w3,interstage,padded_benes_16x16_s3_w3_11.th,padded_benes_16x16_s4_w3_7.in,False,False
stage:3:w4:padded_benes_16x16_s3_w4_12.th->padded_benes_16x16_s4_w0_4.add:w4,interstage,padded_benes_16x16_s3_w4_12.th,padded_benes_16x16_s4_w0_4.add,False,False
stage:3:w5:padded_benes_16x16_s3_w5_13.th->padded_benes_16x16_s4_w1_5.add:w5,interstage,padded_benes_16x16_s3_w5_13.th,padded_benes_16x16_s4_w1_5.add,False,False
stage:3:w6:padded_benes_16x16_s3_w6_14.th->padded_benes_16x16_s4_w2_6.add:w6,interstage,padded_benes_16x16_s3_w6_14.th,padded_benes_16x16_s4_w2_6.add,False,False
stage:3:w7:padded_benes_16x16_s3_w7_15.th->padded_benes_16x16_s4_w3_7.add:w7,interstage,padded_benes_16x16_s3_w7_15.th,padded_benes_16x16_s4_w3_7.add,False,False
stage:3:w8:padded_benes_16x16_s3_w0_8.drop->padded_benes_16x16_s4_w8_12.in:w8,interstage,padded_benes_16x16_s3_w0_8.drop,padded_benes_16x16_s4_w8_12.in,False,False
stage:3:w9:padded_benes_16x16_s3_w1_9.drop->padded_benes_16x16_s4_w9_13.in:w9,interstage,padded_benes_16x16_s3_w1_9.drop,padded_benes_16x16_s4_w9_13.in,False,False
stage:3:w10:padded_benes_16x16_s3_w2_10.drop->padded_benes_16x16_s4_w10_14.in:w10,interstage,padded_benes_16x16_s3_w2_10.drop,padded_benes_16x16_s4_w10_14.in,False,False
stage:3:w11:padded_benes_16x16_s3_w3_11.drop->padded_benes_16x16_s4_w11_15.in:w11,interstage,padded_benes_16x16_s3_w3_11.drop,padded_benes_16x16_s4_w11_15.in,False,False
stage:3:w12:padded_benes_16x16_s3_w4_12.drop->padded_benes_16x16_s4_w8_12.add:w12,interstage,padded_benes_16x16_s3_w4_12.drop,padded_benes_16x16_s4_w8_12.add,False,False
stage:3:w13:padded_benes_16x16_s3_w5_13.drop->padded_benes_16x16_s4_w9_13.add:w13,interstage,padded_benes_16x16_s3_w5_13.drop,padded_benes_16x16_s4_w9_13.add,False,False
stage:3:w14:padded_benes_16x16_s3_w6_14.drop->padded_benes_16x16_s4_w10_14.add:w14,interstage,padded_benes_16x16_s3_w6_14.drop,padded_benes_16x16_s4_w10_14.add,False,False
stage:3:w15:padded_benes_16x16_s3_w7_15.drop->padded_benes_16x16_s4_w11_15.add:w15,interstage,padded_benes_16x16_s3_w7_15.drop,padded_benes_16x16_s4_w11_15.add,False,False
stage:4:w0:padded_benes_16x16_s4_w0_4.th->padded_benes_16x16_s5_w0_2.in:w0,interstage,padded_benes_16x16_s4_w0_4.th,padded_benes_16x16_s5_w0_2.in,False,False
stage:4:w1:padded_benes_16x16_s4_w1_5.th->padded_benes_16x16_s5_w1_3.in:w1,interstage,padded_benes_16x16_s4_w1_5.th,padded_benes_16x16_s5_w1_3.in,False,False
stage:4:w2:padded_benes_16x16_s4_w2_6.th->padded_benes_16x16_s5_w0_2.add:w2,interstage,padded_benes_16x16_s4_w2_6.th,padded_benes_16x16_s5_w0_2.add,False,False
stage:4:w3:padded_benes_16x16_s4_w3_7.th->padded_benes_16x16_s5_w1_3.add:w3,interstage,padded_benes_16x16_s4_w3_7.th,padded_benes_16x16_s5_w1_3.add,False,False
stage:4:w4:padded_benes_16x16_s4_w0_4.drop->padded_benes_16x16_s5_w4_6.in:w4,interstage,padded_benes_16x16_s4_w0_4.drop,padded_benes_16x16_s5_w4_6.in,False,False
stage:4:w5:padded_benes_16x16_s4_w1_5.drop->padded_benes_16x16_s5_w5_7.in:w5,interstage,padded_benes_16x16_s4_w1_5.drop,padded_benes_16x16_s5_w5_7.in,False,False
stage:4:w6:padded_benes_16x16_s4_w2_6.drop->padded_benes_16x16_s5_w4_6.add:w6,interstage,padded_benes_16x16_s4_w2_6.drop,padded_benes_16x16_s5_w4_6.add,False,False
stage:4:w7:padded_benes_16x16_s4_w3_7.drop->padded_benes_16x16_s5_w5_7.add:w7,interstage,padded_benes_16x16_s4_w3_7.drop,padded_benes_16x16_s5_w5_7.add,False,False
stage:4:w8:padded_benes_16x16_s4_w8_12.th->padded_benes_16x16_s5_w8_10.in:w8,interstage,padded_benes_16x16_s4_w8_12.th,padded_benes_16x16_s5_w8_10.in,False,False
stage:4:w9:padded_benes_16x16_s4_w9_13.th->padded_benes_16x16_s5_w9_11.in:w9,interstage,padded_benes_16x16_s4_w9_13.th,padded_benes_16x16_s5_w9_11.in,False,False
stage:4:w10:padded_benes_16x16_s4_w10_14.th->padded_benes_16x16_s5_w8_10.add:w10,interstage,padded_benes_16x16_s4_w10_14.th,padded_benes_16x16_s5_w8_10.add,False,False
