topology,layout,paths,worst_il_db,avg_il_db,il_std_db,il_iqr_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count,crossing_loss_db_per_cross
waksman_9x9,default,2700,5.050762683220104,3.4830505875024205,0.46235809771855396,0.5253341139090408,3.472530945567339,3.959196831658298,4.107863888612818,4.720610126559589,8.824952772657799,15.09154081482673,9.943333131972903,11.453015606273775,2592,9,9,logical,43,sample,0,300,21,7,34.343333333333334,0.1
spanke_benes_9x9,default,2700,4.46049397303643,3.867964597932777,0.27545375716010917,0.3785309455673391,3.8967615123565427,4.197960685741965,4.263594007565581,4.382193594258293,5.722303850755934,13.950733102618214,6.571825418511628,7.773204446077326,2620,9,9,logical,43,sample,0,300,36,15,0.0,0.1
spanke_benes_rect_9x9,default,2700,2.8066940420947333,2.6079645979328094,0.19167351798531554,0.19733177218191544,2.689727777225638,2.7680281560037736,2.7940269851402117,2.806694042094733,9.671491746491668,14.370608124286235,10.221655461159429,10.79804112486482,2620,9,9,logical,43,sample,0,300,36,9,0.0,0.1
padded_benes_16x16,default,3000,6.358095626265584,5.127961146380032,0.536729730376189,0.5786682278180839,5.206762683220105,5.774095626265583,5.927429740174626,6.068096797129147,7.894315893838599,11.524544078994625,8.603101018672389,9.054239390313484,2976,10,16,logical,43,sample,0,300,56,7,46.07,0.1
waksman_10x10,default,3000,5.332096797129147,3.766480623667001,0.47433833263961667,0.5969662648690948,3.809497210436435,4.236163096527393,4.471429740174624,5.052763854083667,8.263574220464081,14.424698810369811,9.4028345672985,10.740334648245433,2905,10,10,logical,43,sample,0,300,25,7,40.61666666666667,0.1
spanke_benes_10x10,default,3000,5.05042650277462,4.380830184382979,0.31054002870977615,0.4441642673909554,4.421060720271116,4.733526537303772,4.814860651212814,4.972126123996483,4.60925121699605,12.854663393148332,5.588241882577353,6.7692268530523005,2939,10,10,logical,43,sample,0,300,45,17,0.0,0.1
spanke_benes_rect_10x10,default,3000,3.1209932500093074,2.910830184383031,0.21173884661455508,0.1983003787781379,2.9923285347819113,3.082327363918348,3.082327363918349,3.1209932500093074,8.978143869063697,13.355202003063715,9.436811720410349,9.976348882396955,2939,10,10,logical,43,sample,0,300,45,10,0.0,0.1
padded_benes_16x16,default,3300,6.558095626265583,5.26601297677221,0.5597773902427262,0.6533341139090405,5.338095626265584,5.930095626265583,6.048096797129146,6.248096797129146,7.675828732196011,11.400105229353729,8.44286974462338,9.031716080169344,3281,11,16,logical,43,sample,0,300,56,7,57.21666666666667,0.1
waksman_11x11,default,3300,5.911429740174626,4.114557311407521,0.5304637693602329,0.6609662648690953,4.113497210436435,4.703496039572872,4.881796418351009,5.671429740174625,7.474371333269957,13.77767182115706,8.798047146638591,10.270847859796108,3202,11,11,logical,43,sample,0,300,29,7,52.736666666666665,0.1
spanke_benes_11x11,default,3300,5.64035903251281,4.895282499821933,0.340072541538679,0.48283015348191505,4.94535992818569,5.3091586882638255,5.377825745218345,5.509092388865579,3.557404063287073,12.007141115872203,4.718617472757077,5.737262200528418,3230,11,11,logical,43,sample,0,300,55,19,0.0,0.1
