permutation,multiplicity,bfs_wil_db,opt_wil_db
"[0, 1, 3, 5, 4, 6, 7, 2]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 5, 4, 7, 2, 6]",4,4.787364439063363,4.517858827415188
"[0, 1, 3, 5, 4, 7, 6, 2]",4,4.787364439063363,4.620817921101759
"[0, 1, 3, 5, 6, 2, 4, 7]",4,4.787364439063363,4.602069051520382
"[0, 1, 3, 5, 6, 2, 7, 4]",4,4.787364439063363,4.602069051520382
"[0, 1, 3, 5, 6, 4, 2, 7]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 5, 6, 4, 7, 2]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 5, 6, 7, 2, 4]",8,4.787364439063363,4.439446251690219
"[0, 1, 3, 5, 6, 7, 4, 2]",8,4.787364439063363,4.439446251690219
"[0, 1, 3, 5, 7, 2, 4, 6]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 5, 7, 2, 6, 4]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 5, 7, 4, 2, 6]",4,4.787364439063363,4.517858827415188
"[0, 1, 3, 5, 7, 4, 6, 2]",4,4.787364439063363,4.620817921101759
"[0, 1, 3, 5, 7, 6, 2, 4]",8,4.787364439063363,4.439446251690219
"[0, 1, 3, 5, 7, 6, 4, 2]",8,4.787364439063363,4.439446251690219
"[0, 1, 3, 6, 2, 4, 5, 7]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 2, 4, 7, 5]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 2, 5, 4, 7]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 2, 5, 7, 4]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 2, 7, 4, 5]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 2, 7, 5, 4]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 4, 2, 5, 7]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 4, 2, 7, 5]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 4, 5, 2, 7]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 4, 5, 7, 2]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 4, 7, 2, 5]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 4, 7, 5, 2]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 5, 2, 4, 7]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 5, 2, 7, 4]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 5, 4, 2, 7]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 5, 4, 7, 2]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 5, 7, 2, 4]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 5, 7, 4, 2]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 7, 2, 4, 5]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 7, 2, 5, 4]",8,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 7, 4, 2, 5]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 7, 4, 5, 2]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 7, 5, 2, 4]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 6, 7, 5, 4, 2]",4,4.98286334908968,4.439446251690219
"[0, 1, 3, 7, 2, 4, 5, 6]",4,4.991109957833809,4.991109957833809
"[0, 1, 3, 7, 2, 4, 6, 5]",4,4.991109957833809,4.991109957833809
"[0, 1, 3, 7, 2, 5, 4, 6]",4,4.991109957833809,4.991109957833809
"[0, 1, 3, 7, 2, 5, 6, 4]",4,4.991109957833809,4.991109957833809
"[0, 1, 3, 7, 2, 6, 4, 5]",8,4.991109957833809,4.991109957833809
"[0, 1, 3, 7, 2, 6, 5, 4]",8,4.991109957833809,4.991109957833809
"[0, 1, 3, 7, 4, 2, 5, 6]",4,5.094069051520382,5.094069051520382
"[0, 1, 3, 7, 4, 2, 6, 5]",4,5.094069051520382,5.094069051520382
"[0, 1, 3, 7, 4, 5, 2, 6]",8,4.864361088252433,4.864361088252433
"[0, 1, 3, 7, 4, 5, 6, 2]",8,4.967320181939004,4.967320181939004
"[0, 1, 3, 7, 4, 6, 2, 5]",4,4.864361088252433,4.864361088252433
"[0, 1, 3, 7, 4, 6, 5, 2]",4,4.967320181939004,4.967320181939004
"[0, 1, 3, 7, 5, 2, 4, 6]",4,5.094069051520382,5.094069051520382
"[0, 1, 3, 7, 5, 2, 6, 4]",4,5.094069051520382,5.094069051520382
"[0, 1, 3, 7, 5, 4, 2, 6]",8,4.864361088252433,4.864361088252433
"[0, 1, 3, 7, 5, 4, 6, 2]",8,4.967320181939004,4.967320181939004
"[0, 1, 3, 7, 5, 6, 2, 4]",4,4.864361088252433,4.864361088252433
"[0, 1, 3, 7, 5, 6, 4, 2]",4,4.967320181939004,4.967320181939004
"[0, 1, 3, 7, 6, 2, 4, 5]",8,5.094069051520382,5.094069051520382
"[0, 1, 3, 7, 6, 2, 5, 4]",8,5.094069051520382,5.094069051520382
"[0, 1, 3, 7, 6, 4, 2, 5]",4,4.864361088252433,4.864361088252433
"[0, 1, 3, 7, 6, 4, 5, 2]",4,4.967320181939004,4.967320181939004
"[0, 1, 3, 7, 6, 5, 2, 4]",4,4.864361088252433,4.864361088252433
"[0, 1, 3, 7, 6, 5, 4, 2]",4,4.967320181939004,4.967320181939004
"[0, 1, 4, 2, 3, 5, 6, 7]",8,4.998571312357628,4.439446251690219
"[0, 1, 4, 2, 3, 5, 7, 6]",8,4.998571312357628,4.439446251690219
"[0, 1, 4, 2, 3, 6, 5, 7]",4,4.787364439063363,4.586361088252434
"[0, 1, 4, 2, 3, 6, 7, 5]",4,4.787364439063363,4.586361088252434
"[0, 1, 4, 2, 3, 7, 5, 6]",4,4.998571312357628,4.439446251690219
"[0, 1, 4, 2, 3, 7, 6, 5]",4,4.998571312357628,4.439446251690219
"[0, 1, 4, 2, 5, 3, 6, 7]",8,4.998571312357628,4.439446251690219
"[0, 1, 4, 2, 5, 3, 7, 6]",8,4.998571312357628,4.439446251690219
"[0, 1, 4, 2, 5, 6, 3, 7]",4,4.998571312357628,4.439446251690219
