candidate_id,A,B,C,D,E,F,proxy_global_opt_assignment_db,is_dp,is_random,is_greedy,is_baseline
e_576e90cec6b1,23.506,3.6920000000000006,2176.0,14.610000000000001,6.181535714285714,4.03432906350823,4.03432906350823,False,False,False,False
e_644eeb004ab8,23.594000000000005,3.736,2176.0,14.698,6.238630952380952,4.078329063508231,4.078329063508231,False,False,False,False
e_c0bd6156a68b,23.546000000000003,3.4800000000000004,2176.0,15.056000000000001,6.026238095238096,4.033077933089609,4.033077933089609,False,False,False,False
e_1eebab1d1607,23.634,3.524,2176.0,15.144000000000002,6.083333333333334,4.077077933089608,4.077077933089608,False,False,False,False
e_1b36a65f5b1f,23.59,3.4800000000000004,2176.0,15.034,6.024535714285714,4.033077933089609,4.033077933089609,False,False,False,False
e_6106da2dc273,23.678,3.524,2176.0,15.122,6.081630952380952,4.077077933089608,4.077077933089608,False,False,False,False
e_1b4ca281ffc7,26.022,4.416,2176.0,15.078,7.023940476190477,5.10232906350823,5.10232906350823,False,False,False,False
e_4f70caec4986,26.066000000000006,4.46,2176.0,15.034,7.063488095238095,5.1463290635082295,5.1463290635082295,False,False,False,False
e_0eeece177057,26.110000000000003,4.416,2176.0,15.144000000000002,7.034285714285716,5.10232906350823,5.10232906350823,False,False,False,False
e_c277a3c01fa3,26.154000000000007,4.46,2176.0,15.1,7.073833333333334,5.1463290635082295,5.1463290635082295,False,False,False,False
e_e93ccd370d4f,25.938,4.3759999999999994,2176.0,14.654,6.928940476190476,5.082329063508229,5.082329063508229,False,False,False,False
e_3b5aed0be1b2,25.982000000000003,4.3759999999999994,2176.0,14.610000000000001,6.924488095238095,5.12632906350823,5.12632906350823,False,False,False,False
e_a5414717e64b,25.982000000000003,4.42,2176.0,14.632000000000001,6.971238095238096,5.082329063508229,5.082329063508229,False,False,False,False
e_10615c95c0c5,26.026000000000003,4.42,2176.0,14.588,6.966785714285714,5.12632906350823,5.12632906350823,False,False,False,False
e_2536a9d323fb,23.506,3.6920000000000006,2176.0,14.632,6.184285714285714,4.077077933089608,4.077077933089608,False,False,False,False
e_9665b71162b1,23.594,3.736,2176.0,14.72,6.241380952380952,4.078329063508231,4.078329063508231,False,False,False,False
e_81d209595676,23.594,3.6920000000000006,2176.0,14.697999999999999,6.194630952380953,4.077077933089608,4.077077933089608,False,False,False,False
e_1d12aad13eab,23.682,3.736,2176.0,14.786000000000001,6.251726190476191,4.078329063508231,4.078329063508231,False,False,False,False
e_85fc64ceef29,23.634,3.4800000000000004,2176.0,15.144,6.039333333333333,4.077077933089608,4.077077933089608,False,False,False,False
e_5a5ebdde89cd,23.722,3.524,2176.0,15.232000000000003,6.0964285714285715,4.077077933089608,4.077077933089608,False,False,False,False
e_9a44ed779908,23.678,3.4800000000000004,2176.0,15.122000000000002,6.037630952380953,4.077077933089608,4.077077933089608,False,False,False,False
e_4249bc871bc4,23.766,3.524,2176.0,15.21,6.094726190476191,4.077077933089608,4.077077933089608,False,False,False,False
e_ecbea0fbe1fa,26.11,4.416,2176.0,15.166,7.0370357142857145,5.10232906350823,5.10232906350823,False,False,False,False
e_945ec0fea961,26.154,4.46,2176.0,15.122000000000002,7.076583333333333,5.1463290635082295,5.1463290635082295,False,False,False,False
e_c25583044b33,26.198,4.416,2176.0,15.232,7.047380952380952,5.10232906350823,5.10232906350823,False,False,False,False
e_e04939891daa,26.242000000000004,4.46,2176.0,15.188,7.0869285714285715,5.1463290635082295,5.1463290635082295,False,False,False,False
e_6f24896ba133,26.026,4.3759999999999994,2176.0,14.742,6.942035714285714,5.082329063508229,5.082329063508229,False,False,False,False
e_1ee6f8c812ef,26.07,4.3759999999999994,2176.0,14.698,6.9375833333333325,5.12632906350823,5.12632906350823,False,False,False,False
e_9a5ed920a56e,26.07,4.42,2176.0,14.72,6.984333333333333,5.082329063508229,5.082329063508229,False,False,False,False
e_9e8b1a2e633c,26.114,4.42,2176.0,14.676,6.979880952380952,5.12632906350823,5.12632906350823,False,True,False,False
e_aaf8cbd62419,25.638000000000005,3.6920000000000006,2176.0,14.588,6.2295476190476196,4.907826802670983,4.907826802670983,True,False,False,False
e_1b20b3f9553e,25.726000000000003,3.736,2176.0,14.676000000000002,6.286642857142858,4.907826802670983,4.907826802670983,True,True,False,False
e_f96f5a7bd3c1,25.726000000000003,3.6920000000000006,2176.0,14.654,6.239892857142857,4.907826802670983,4.907826802670983,False,True,False,False
e_b9e3536e8c27,25.814000000000004,3.736,2176.0,14.742,6.296988095238095,4.907826802670983,4.907826802670983,False,False,False,False
e_55077806b779,25.766000000000005,3.566,2176.0,15.1,6.170595238095238,4.907826802670983,4.907826802670983,True,False,False,False
e_65ea37bd7d77,25.854000000000003,3.566,2176.0,15.188000000000002,6.183690476190477,4.907826802670983,4.907826802670983,True,False,False,False
e_4d3d06e9cb99,25.81,3.566,2176.0,15.078000000000001,6.168892857142857,4.907826802670983,4.907826802670983,True,False,False,False
e_f80a17a682a2,25.897999999999996,3.566,2176.0,15.166,6.181988095238095,4.907826802670983,4.907826802670983,True,False,False,False
e_47dc10040ead,28.242,4.416,2176.0,15.122,7.082297619047619,5.10232906350823,5.10232906350823,True,False,False,False
e_7427f9e8d3b1,28.286,4.46,2176.0,15.078000000000001,7.121845238095238,5.1463290635082295,5.1463290635082295,True,False,False,False
e_33698ebdca9a,28.330000000000002,4.416,2176.0,15.188000000000002,7.092642857142858,5.10232906350823,5.10232906350823,False,False,False,False
e_33c591e4d143,28.374000000000002,4.46,2176.0,15.144,7.132190476190476,5.1463290635082295,5.1463290635082295,False,False,False,False
e_c89ad397b4d0,28.158,4.3759999999999994,2176.0,14.698,6.987297619047618,5.082329063508229,5.082329063508229,True,False,False,False
e_664972c64608,28.201999999999998,4.3759999999999994,2176.0,14.654,6.982845238095237,5.12632906350823,5.12632906350823,True,False,False,False
e_eafcb2b95175,28.201999999999998,4.42,2176.0,14.676000000000002,7.029595238095238,5.082329063508229,5.082329063508229,True,False,False,False
e_6ff0503ab112,28.246,4.42,2176.0,14.632,7.025142857142857,5.12632906350823,5.12632906350823,True,False,False,False
e_afbef22ec902,25.682000000000006,3.6920000000000006,2176.0,14.544,6.225095238095239,4.951826802670983,4.951826802670983,True,False,False,False
e_ef6b46c46522,25.770000000000007,3.736,2176.0,14.632000000000001,6.282190476190477,4.951826802670983,4.951826802670983,True,False,False,False
e_043e095ca65d,25.770000000000003,3.6920000000000006,2176.0,14.610000000000001,6.235440476190477,4.951826802670983,4.951826802670983,False,False,False,False
e_df8ebe407140,25.858000000000004,3.736,2176.0,14.698,6.292535714285714,4.951826802670983,4.951826802670983,False,False,False,False
e_0a3707e931da,25.810000000000002,3.608,2176.0,15.056000000000001,6.208142857142857,4.951826802670983,4.951826802670983,True,False,False,False
e_d5eaa4589f0e,25.898000000000003,3.608,2176.0,15.144000000000002,6.221238095238096,4.951826802670983,4.951826802670983,True,False,False,False
e_381db18a9afd,25.854,3.608,2176.0,15.034,6.206440476190476,4.951826802670983,4.951826802670983,True,False,False,False
e_2d1469cc4aba,25.942,3.608,2176.0,15.122,6.219535714285715,4.951826802670983,4.951826802670983,True,True,False,False
