permutation,num_realizations,bfs_state_id,bfs_state_bits,bfs_cross_count,bfs_wil_db,bfs_total_il_db,bfs_worst_input,bfs_worst_output,bfs_worst_path_id,opt_state_id,opt_state_bits,opt_cross_count,opt_wil_db,opt_total_il_db,opt_worst_input,opt_worst_output,opt_worst_path_id,delta_wil_db,relative_improvement_percent,num_optimal_states,num_exact_optimal_states,assignment_wil_range_db
"[3, 2, 7, 0, 6, 5, 4, 1]",4,47138,01000100000111010,6,4.661364439063363,30.702166702091183,7,1,157,47138,01000100000111010,6,4.661364439063363,30.702166702091183,7,1,157,0.0,0.0,4,4,0.0
"[3, 2, 7, 1, 0, 4, 5, 6]",4,63630,01110001000111110,9,4.455529235180639,31.13865991957945,3,1,80,59550,01111001000101110,9,4.440195121271597,31.13865991957945,4,0,109,0.015334113909041491,0.3441592030855523,2,2,0.015334113909041491
"[3, 2, 7, 1, 0, 4, 6, 5]",4,63622,01100001000111110,8,4.455529235180639,30.993162180416693,3,1,80,59542,01101001000101110,8,4.440195121271597,30.993162180416693,4,0,109,0.015334113909041491,0.3441592030855523,2,2,0.015334113909041491
"[3, 2, 7, 1, 0, 5, 4, 6]",4,129166,01110001000111111,10,4.455529235180639,31.284157658742203,3,1,80,125086,01111001000101111,10,4.440195121271597,31.284157658742203,4,0,109,0.015334113909041491,0.3441592030855523,2,2,0.015334113909041491
"[3, 2, 7, 1, 0, 5, 6, 4]",4,129158,01100001000111111,9,4.455529235180639,31.138659919579446,3,1,80,125078,01101001000101111,9,4.440195121271597,31.138659919579446,4,0,109,0.015334113909041491,0.3441592030855523,2,2,0.015334113909041491
"[3, 2, 7, 1, 0, 6, 4, 5]",8,63654,01100101000111110,9,4.455529235180639,31.138659919579446,3,1,80,59574,01101101000101110,9,4.440195121271597,31.138659919579446,4,0,109,0.015334113909041491,0.3441592030855523,4,4,0.015334113909041491
"[3, 2, 7, 1, 0, 6, 5, 4]",8,129190,01100101000111111,10,4.455529235180639,31.284157658742203,3,1,80,125110,01101101000101111,10,4.440195121271597,31.284157658742203,4,0,109,0.015334113909041491,0.3441592030855523,4,4,0.015334113909041491
"[3, 2, 7, 1, 4, 0, 5, 6]",4,63626,01010001000111110,8,4.543154214958167,30.993162180416693,5,0,120,30859,11010001000111100,8,4.543154214958167,30.99316218041669,5,0,120,0.0,0.0,4,4,0.0
"[3, 2, 7, 1, 4, 0, 6, 5]",4,63618,01000001000111110,7,4.543154214958167,30.847664441253936,5,0,120,30851,11000001000111100,7,4.543154214958167,30.847664441253933,5,0,120,0.0,0.0,4,4,0.0
"[3, 2, 7, 1, 4, 5, 0, 6]",8,63498,01010000000111110,7,4.455529235180639,30.84766444125394,3,1,80,59418,01011000000101110,7,4.31344625169022,30.84766444125394,6,0,147,0.14208298349041915,3.1889137292274716,4,4,0.14208298349041915
"[3, 2, 7, 1, 4, 5, 6, 0]",8,63490,01000000000111110,6,4.455529235180639,30.702166702091183,3,1,80,59410,01001000000101110,6,4.416405345376791,30.702166702091183,7,0,158,0.03912388980384751,0.8780974770612481,4,4,0.03912388980384751
"[3, 2, 7, 1, 4, 6, 0, 5]",4,129070,01110100000111111,10,4.455529235180639,31.284157658742203,3,1,80,124990,01111100000101111,10,4.31344625169022,31.284157658742203,6,0,147,0.14208298349041915,3.1889137292274716,2,2,0.14208298349041915
"[3, 2, 7, 1, 4, 6, 5, 0]",4,129062,01100100000111111,9,4.455529235180639,31.138659919579446,3,1,80,124982,01101100000101111,9,4.416405345376791,31.138659919579446,7,0,158,0.03912388980384751,0.8780974770612481,2,2,0.03912388980384751
"[3, 2, 7, 1, 5, 0, 4, 6]",4,129162,01010001000111111,9,4.543154214958167,31.138659919579446,5,0,120,129162,01010001000111111,9,4.543154214958167,31.138659919579446,5,0,120,0.0,0.0,4,4,0.0
"[3, 2, 7, 1, 5, 0, 6, 4]",4,129154,01000001000111111,8,4.543154214958167,30.99316218041669,5,0,120,129154,01000001000111111,8,4.543154214958167,30.99316218041669,5,0,120,0.0,0.0,4,4,0.0
"[3, 2, 7, 1, 5, 4, 0, 6]",8,129034,01010000000111111,8,4.455529235180639,30.993162180416693,3,1,80,124954,01011000000101111,8,4.31344625169022,30.993162180416693,6,0,147,0.14208298349041915,3.1889137292274716,4,4,0.14208298349041915
"[3, 2, 7, 1, 5, 4, 6, 0]",8,129026,01000000000111111,7,4.455529235180639,30.84766444125394,3,1,80,124946,01001000000101111,7,4.416405345376791,30.84766444125394,7,0,158,0.03912388980384751,0.8780974770612481,4,4,0.03912388980384751
"[3, 2, 7, 1, 5, 6, 0, 4]",4,63534,01110100000111110,9,4.455529235180639,31.138659919579446,3,1,80,59454,01111100000101110,9,4.31344625169022,31.138659919579446,6,0,147,0.14208298349041915,3.1889137292274716,2,2,0.14208298349041915
"[3, 2, 7, 1, 5, 6, 4, 0]",4,63526,01100100000111110,8,4.455529235180639,30.993162180416693,3,1,80,59446,01101100000101110,8,4.416405345376791,30.993162180416693,7,0,158,0.03912388980384751,0.8780974770612481,2,2,0.03912388980384751
